id|Nationality|Nationality_Region|Nationality_IncomeGroup|aff_country|aff_country_Region|aff_country_IncomeGroup|Gender|Citations|Productivity|Degree
ur.014276255441.44|TR|Europe & Central Asia|Upper middle income|Brazil|Latin America & Caribbean|Upper middle income|male|2398|1|3
ur.016127240001.40|MX|Latin America & Caribbean|Upper middle income|Brazil|Latin America & Caribbean|Upper middle income|male|2398|1|3
ur.016276521651.40|US|North America|High income|United States|North America|High income|male|2397|1|2
ur.015661064160.53|LB|Middle East & North Africa|Lower middle income|United States|North America|High income|male|4655|2|3
ur.014644454461.40|SN|Sub-Saharan Africa|Lower middle income|United States|North America|High income|male|4655|2|3
ur.0607431735.52|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2397|1|7
ur.07504677125.01|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2397|1|7
ur.07760421625.31|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2397|1|7
ur.07407160023.17|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2397|1|7
ur.016525026431.06|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2397|1|7
ur.012474222664.07|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2397|1|7
ur.0706113712.83|HU|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2397|1|7
ur.01246644525.76|DE|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income|male|2397|1|7
ur.016005746571.56|NZ|East Asia & Pacific|High income|Germany|Europe & Central Asia|High income|male|2395|1|9
ur.010470711175.29|IT|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2395|1|9
ur.011615534125.81|CN|East Asia & Pacific|Upper middle income|Germany|Europe & Central Asia|High income||2395|1|9
ur.0721257210.28|GB|Europe & Central Asia|High income|United Kingdom|Europe & Central Asia|High income||2395|1|9
ur.013203070273.57|LU|Europe & Central Asia|High income|Germany|Europe & Central Asia|High income||2395|1|9
ur.013112540471.56|JP|East Asia & Pacific|High income|Japan|East Asia & Pacific|High income||2395|1|9
ur.01000476242.36|DK|Europe & Central Asia|High income|United States|North America|High income|male|2392|1|1
ur.015370274737.57|US|North America|High income|United States|North America|High income|male|2392|1|1
ur.01277346710.52|NZ|East Asia & Pacific|High income|United Kingdom|Europe & Central Asia|High income|male|2391|1|3
ur.014462665057.44|UG|Sub-Saharan Africa|Low income|United States|North America|High income|male|2391|1|3
ur.016666247173.64|IL|Middle East & North Africa|High income|Israel|Middle East & North Africa|High income|male|2391|1|3
ur.014335234737.04||||Israel|Middle East & North Africa|High income|male|2391|1|3
ur.01223153015.07|IL|Middle East & North Africa|High income|United States|North America|High income||2382|1|4
ur.010262772077.38|FR|Europe & Central Asia|High income|United States|North America|High income||2382|1|4
ur.0721327015.24|BG|Europe & Central Asia|Upper middle income|United States|North America|High income|male|2382|1|4
